model,b1,log10c0,p1,E1,E2,log10delta1,log10delta2,pop_frac1,pop_frac2,strategy1,strategy2,batches,steady_state,fullname
1,0.5,0,0.5,1,1,-0.5,-1.5,0.5,0.5,1,1.77645040660727e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_172.mat
1,0.5,0,0.5,1,1,-0.5,-1,0.5,0.5,1,1.79471646015949e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_173.mat
1,0.5,0,0.5,1,1,-0.5,-0.5,0.5,0.5,0.639383824,0.639383824,1000,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_174.mat
1,0.5,0,0.5,1,1,-0.5,0,0.5,0.5,9.89193353519688e-313,1,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_175.mat
1,0.5,0,0.5,1,1,0,-2.5,0.5,0.5,1,1.72996310408839e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_176.mat
1,0.5,0,0.5,1,1,0,-2,0.5,0.5,1,1.74025167594949e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_177.mat
1,0.5,0,0.5,1,1,0,-1.5,0.5,0.5,1,1.77645040660727e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_178.mat
1,0.5,0,0.5,1,1,0,-1,0.5,0.5,1,1.79471646015949e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_179.mat
1,0.5,0,0.5,1,0.9,-1.5,-0.5,0.500000003,0.499999997,1.84916157522581e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_18.mat
1,0.5,0,0.5,1,1,0,-0.5,0.5,0.5,1,9.89193353519688e-313,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_180.mat
